study_id,author,year,journal,pmid,disease,test_type,test_name,reference_standard,n_patients,prevalence,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,ppv,npv,lr_positive,lr_negative,auc,quadas_patient_selection,quadas_index_test,quadas_reference_standard,quadas_flow_timing,quadas_overall,age_mean,percent_male,setting,test_cost_usd,country
DTA001,Anderson,2020,Radiology,32123456,Lung cancer,Imaging,Low-dose CT,Biopsy,850,0.12,95,65,7,683,0.931,0.913,0.594,0.990,10.7,0.075,0.952,low,low,low,low,low,62.3,58,Hospital,250,USA
DTA002,Baker,2021,Lancet,33234567,Breast cancer,Imaging,Mammography,Biopsy,1250,0.08,92,105,8,1045,0.920,0.909,0.467,0.992,10.1,0.088,0.945,low,low,low,low,low,54.8,0,Screening,180,UK
DTA003,Chen,2019,JAMA,31345678,Colorectal cancer,Biomarker,Fecal occult blood,Colonoscopy,2100,0.06,118,189,8,1785,0.937,0.904,0.385,0.996,9.8,0.070,0.941,low,unclear,low,low,low,58.2,52,Screening,45,China
DTA004,Davis,2022,NEJM,34456789,Prostate cancer,Biomarker,PSA >4ng/mL,Biopsy,980,0.15,138,72,9,761,0.939,0.914,0.657,0.988,10.9,0.067,0.958,low,low,low,low,low,65.4,100,Primary care,85,USA
DTA005,Evans,2020,BMJ,32567890,COVID-19,Biomarker,Rapid antigen test,RT-PCR,1450,0.22,305,85,14,1046,0.956,0.925,0.782,0.987,12.7,0.048,0.962,low,low,low,low,low,42.1,48,Community,25,Germany
DTA006,Foster,2021,Circulation,33678901,Coronary artery disease,Imaging,CT angiography,Invasive angiography,650,0.35,215,48,12,375,0.947,0.887,0.818,0.969,8.4,0.060,0.948,low,low,low,low,low,61.7,72,Hospital,850,USA
DTA007,Garcia,2019,Diabetes Care,31789012,Type 2 diabetes,Biomarker,HbA1c >=6.5%,Fasting glucose + OGTT,1850,0.18,315,125,18,1392,0.946,0.918,0.716,0.987,11.5,0.059,0.955,low,low,low,low,low,52.4,55,Primary care,35,Spain
DTA008,Harris,2022,Ann Intern Med,34890123,Pulmonary embolism,Imaging,CT pulmonary angiography,Clinical diagnosis + imaging,780,0.14,102,58,7,613,0.936,0.914,0.638,0.989,10.9,0.070,0.951,low,low,low,low,low,56.8,46,Emergency,920,Canada
DTA009,Ibrahim,2020,Neurology,32901234,Stroke,Imaging,MRI diffusion weighted,Clinical + CT,920,0.25,218,62,12,628,0.948,0.910,0.779,0.981,10.5,0.057,0.956,low,low,low,low,low,67.3,54,Emergency,1250,USA
DTA010,Johnson,2021,Gastroenterology,33012345,Liver fibrosis,Biomarker,FibroTest,Liver biopsy,450,0.42,175,38,14,223,0.926,0.854,0.822,0.941,6.3,0.085,0.932,unclear,low,low,low,unclear,54.6,58,Hospital,280,France
